2022-05-19 18:05:470 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:05 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (244b5c5a8c5791885116abf8d08fa0c5)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:99 INFO  SelectNationalityPage :28 - Selecting nationality Australia from dropdown [[ChromeDriver: chrome on WINDOWS (244b5c5a8c5791885116abf8d08fa0c5)] -> xpath: //select[@id='response']]
2022-05-19 18:05:590 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (244b5c5a8c5791885116abf8d08fa0c5)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:522 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (244b5c5a8c5791885116abf8d08fa0c5)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:545 INFO  ResultPage :24 - Clicking on resultMessage [[ChromeDriver: chrome on WINDOWS (244b5c5a8c5791885116abf8d08fa0c5)] -> xpath: //div[@id='result-info']//div[2]/h2]
2022-05-19 18:05:366 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:958 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (24dfbdebba125930d61a50beee3eb117)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:21 INFO  SelectNationalityPage :28 - Selecting nationality Chile from dropdown [[ChromeDriver: chrome on WINDOWS (24dfbdebba125930d61a50beee3eb117)] -> xpath: //select[@id='response']]
2022-05-19 18:05:199 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:581 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (8b6d9ff00f2311d14c9cbbedd8367022)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:662 INFO  SelectNationalityPage :28 - Selecting nationality Australia from dropdown [[ChromeDriver: chrome on WINDOWS (8b6d9ff00f2311d14c9cbbedd8367022)] -> xpath: //select[@id='response']]
2022-05-19 18:05:585 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (8b6d9ff00f2311d14c9cbbedd8367022)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:740 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (8b6d9ff00f2311d14c9cbbedd8367022)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:757 INFO  ResultPage :24 - Clicking on resultMessage [[ChromeDriver: chrome on WINDOWS (8b6d9ff00f2311d14c9cbbedd8367022)] -> xpath: //div[@id='result-info']//div[2]/h2]
2022-05-19 18:05:578 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:997 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (8a20362e8c0c2430d0af2e2b6624a1a8)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:60 INFO  SelectNationalityPage :28 - Selecting nationality Chile from dropdown [[ChromeDriver: chrome on WINDOWS (8a20362e8c0c2430d0af2e2b6624a1a8)] -> xpath: //select[@id='response']]
2022-05-19 18:05:33 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (8a20362e8c0c2430d0af2e2b6624a1a8)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:300 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (8a20362e8c0c2430d0af2e2b6624a1a8)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:147 INFO  DurationOfStayPage :44 - Selecting option longer than 6 months from dropdown [[ChromeDriver: chrome on WINDOWS (8a20362e8c0c2430d0af2e2b6624a1a8)] -> xpath: //input[@id='response-1']]
2022-05-19 18:05:209 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (8a20362e8c0c2430d0af2e2b6624a1a8)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:287 INFO  WorkTypePage :65 - Selecting job Health and care professional from dropdown [[ChromeDriver: chrome on WINDOWS (8a20362e8c0c2430d0af2e2b6624a1a8)] -> xpath: //input[@id='response-0']]
2022-05-19 18:05:642 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (8a20362e8c0c2430d0af2e2b6624a1a8)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:663 INFO  ResultPage :24 - Clicking on resultMessage [[ChromeDriver: chrome on WINDOWS (8a20362e8c0c2430d0af2e2b6624a1a8)] -> xpath: //div[@id='result-info']//div[2]/h2]
2022-05-19 18:05:465 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:119 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (9bebdded5ec5217dcbf089f5cc550556)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:182 INFO  SelectNationalityPage :28 - Selecting nationality Colombia from dropdown [[ChromeDriver: chrome on WINDOWS (9bebdded5ec5217dcbf089f5cc550556)] -> xpath: //select[@id='response']]
2022-05-19 18:05:921 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (9bebdded5ec5217dcbf089f5cc550556)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:80 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (9bebdded5ec5217dcbf089f5cc550556)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:157 INFO  FamilyImmigrationStatusPage :41 - Selecting option Yes from dropdown [[ChromeDriver: chrome on WINDOWS (9bebdded5ec5217dcbf089f5cc550556)] -> xpath: //input[@id='response-0']]
2022-05-19 18:05:222 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (9bebdded5ec5217dcbf089f5cc550556)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:251 INFO  ResultPage :24 - Clicking on resultMessage Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='result-info']//div[2]/h2'
2022-05-19 18:05:948 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:360 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (da070e9085bd6cb6aa99ce8a33c209ed)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:438 INFO  SelectNationalityPage :28 - Selecting nationality Colombia from dropdown [[ChromeDriver: chrome on WINDOWS (da070e9085bd6cb6aa99ce8a33c209ed)] -> xpath: //select[@id='response']]
2022-05-19 18:05:138 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (da070e9085bd6cb6aa99ce8a33c209ed)] -> xpath: //button[contains(text(),'Continue')]]
